Message,Type,Severity,Security Category,Hotspot Priority,Rule Key,Rule Name,File Name,File Line,Impact MAINTAINABILITY,Impact RELIABILITY,Impact SECURITY
Macro with side effects used multiple times: u64 magnitude:8;,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S814,AI-Triage-v8:AI-TRIAGE:c_S814,nest/cmds.c,79,MEDIUM,,
Null pointer dereference: case EAF_TYPE_IP_ADDRESS:,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S2259,AI-Triage-v8:AI-TRIAGE:c_S2259,nest/rt-attr.c,1007,MEDIUM,,
Assignment inside condition: void,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S833,AI-Triage-v8:AI-TRIAGE:c_S833,proto/bmp/bmp.c,721,MEDIUM,,
Redundant parentheses [REVIEW]: return (n);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1110,AI-Triage-v8:AI-TRIAGE:c_S1110,proto/ospf/neighbor.c,103,MEDIUM,,
Null pointer dereference: ea_list *attrs = new ? new->attrs->eattrs : NULL;,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:nullPointer,AI-Triage-v8:AI-TRIAGE:nullPointer,proto/bgp/packets.c,2578,MEDIUM,,
Flexible array member used: struct adata empty_as_path = {};,VULNERABILITY,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S946,AI-Triage-v8:AI-TRIAGE:c_S946,nest/a-set_test.c,41,MEDIUM,,
"Null pointer dereference in function call: { return !memcmp(a, b, sizeof(net_addr_ip6)); }",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S5000,AI-Triage-v8:AI-TRIAGE:c_S5000,lib/net.h,360,MEDIUM,,
"Dead store — value assigned but never used: rt = rip_add_rte(p, rp, new);",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1854,AI-Triage-v8:AI-TRIAGE:c_S1854,proto/rip/rip.c,283,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /*,VULNERABILITY,BLOCKER,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,nest/iface.c,638,MEDIUM,,
alloca() usage — potential stack overflow: net_addr *n0 = alloca(n->length);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:allocaCalled,AI-Triage-v8:AI-TRIAGE:allocaCalled,nest/rt-fib.c,386,MEDIUM,,
alloca() with network-controlled size — stack DoS: e->net = alloca(sizeof(net) + r->net->length);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,proto/static/static.c,118,MEDIUM,,
Null pointer dereference after failed allocation: tmp = init_cmd = malloc(len);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:nullPointerOutOfMemory,AI-Triage-v8:AI-TRIAGE:nullPointerOutOfMemory,client/client.c,112,MEDIUM,,
"Array index out of bounds: static inline u32 ip6_getbit(ip6_addr a, uint pos)",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S3519,AI-Triage-v8:AI-TRIAGE:c_S3519,lib/ip.h,334,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /*,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/rip/packets.c,294,MEDIUM,,
"Function has too many lines: else if ((op != NL_OP_DELETE) && (ea = ea_find(eattrs, EA_KRT_METRIC)))",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S912,AI-Triage-v8:AI-TRIAGE:c_S912,sysdep/linux/netlink.c,1390,MEDIUM,,
alloca() inside loop — unbounded stack growth: for (rt = en->routes; rt && (num < p->ecmp); rt = rt->next),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_alloca_in_loop,AI-Triage-v8:AI-TRIAGE:cpp_alloca_in_loop,proto/rip/rip.c,174,MEDIUM,,
Null pointer dereference after failed allocation: new->len = c-d;,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:nullPointerOutOfMemory,AI-Triage-v8:AI-TRIAGE:nullPointerOutOfMemory,client/commands.c,72,MEDIUM,,
switch missing default case: default:,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S4524,AI-Triage-v8:AI-TRIAGE:c_S4524,proto/aggregator/aggregator.c,219,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: better handling different nettypes */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,nest/rt-table.c,1085,MEDIUM,,
"FIXME comment — developer-flagged unsafe code: /* FIXME: this is thread-unsafe, but perhaps harmless */",VULNERABILITY,BLOCKER,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/bfd/bfd.c,1191,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: Call err_hook instead ? */,VULNERABILITY,BLOCKER,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,sysdep/unix/io.c,1325,MEDIUM,,
"FIXME comment — developer-flagged unsafe code: [ROUTER_KEY] 			= sizeof(struct pdu_header), /* FIXME */",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/rpki/packets.c,270,MEDIUM,,
"Function has too many parameters: static inline struct bfd_request * bfd_request_session(pool *p UNUSED, ip_addr addr UNUSED, ip_addr local UNUSED, struct iface *iface UNUSED, struct iface *vrf UNUSED, void (*hook)(struct bfd_request",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S107,AI-Triage-v8:AI-TRIAGE:c_S107,nest/bfd.h,69,MEDIUM,,
Function missing documentation: static void,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_poorly_documented_function,AI-Triage-v8:AI-TRIAGE:cpp_poorly_documented_function,proto/bgp/bgp.c,3153,MEDIUM,,
"FIXME comment — developer-flagged unsafe code: /* FIXME - there should be some checking of received RAs, but we just ignore them */",VULNERABILITY,BLOCKER,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/radv/packets.c,494,MEDIUM,,
Local variable shadows outer variable: const struct babel_tlv_data *tlv_data;,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1117,AI-Triage-v8:AI-TRIAGE:c_S1117,proto/babel/packets.c,1405,MEDIUM,,
alloca() with network-controlled size — stack DoS: 355 |   byte *pass_key = alloca(pass_len);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,proto/ospf/packet.c,233,MEDIUM,,
"Local variable shadows outer variable: is_heap_valid(int heap[], uint num)",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1117,AI-Triage-v8:AI-TRIAGE:c_S1117,lib/heap_test.c,33,MEDIUM,,
Redundant null check implies earlier null deref: if (n && n->cmd),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:nullPointerRedundantCheck,AI-Triage-v8:AI-TRIAGE:nullPointerRedundantCheck,client/commands.c,195,MEDIUM,,
alloca() inside loop — unbounded stack growth: net_addr *n = alloca(sizeof(struct net_addr_flow4) + flen);,VULNERABILITY,BLOCKER,,,external_AI-Triage-v8:AI-TRIAGE:cpp_alloca_in_loop,AI-Triage-v8:AI-TRIAGE:cpp_alloca_in_loop,proto/bgp/packets.c,2114,MEDIUM,,
Function has too many lines: if (EMPTY_LIST(fps->empty) || ((ep = HEAD(fps->empty))->pos == EP_POS_MAX)),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S912,AI-Triage-v8:AI-TRIAGE:c_S912,sysdep/unix/alloc.c,208,MEDIUM,,
"Arguments passed in wrong order: if (ifa_same(b, a))",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S2234,AI-Triage-v8:AI-TRIAGE:c_S2234,nest/iface.c,632,MEDIUM,,
Array index out of bounds: return ea_set_attr(,VULNERABILITY,BLOCKER,,,external_AI-Triage-v8:AI-TRIAGE:c_S3519,AI-Triage-v8:AI-TRIAGE:c_S3519,proto/bgp/attrs.c,92,MEDIUM,,
FIXME comment — developer-flagged unsafe code: lsa1_type = lsa1->type_raw;	/* FIXME: handle unknown ref_type */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/ospf/ospf.c,952,MEDIUM,,
alloca() with network-controlled size — stack DoS: net_addr *n = alloca(sizeof(struct net_addr_flow6) + flen);,VULNERABILITY,BLOCKER,,,external_AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,proto/bgp/packets.c,2209,MEDIUM,,
"Dead store — value assigned but never used: const char *transport_name = ""---"";",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1854,AI-Triage-v8:AI-TRIAGE:c_S1854,proto/rpki/rpki.c,903,MEDIUM,,
alloca() usage — potential stack overflow: 579 |   eattr *b = alloca(n * sizeof(eattr));,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:allocaCalled,AI-Triage-v8:AI-TRIAGE:allocaCalled,nest/rt-attr.c,579,MEDIUM,,
alloca() with network-controlled size — stack DoS: int l = strlen(cmd);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,client/client.c,418,MEDIUM,,
"Null pointer dereference in function call: static inline int net_equal_vpn6(const net_addr_vpn6 *a, const net_addr_vpn6 *b)",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S5000,AI-Triage-v8:AI-TRIAGE:c_S5000,lib/net.h,366,MEDIUM,,
Operator precedence ambiguity: if (cc->c.in_filter == FILTER_UNDEF),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S5261,AI-Triage-v8:AI-TRIAGE:c_S5261,proto/bgp/bgp.c,2630,MEDIUM,,
alloca() inside loop — unbounded stack growth: a0.eattrs = alloca(sizeof(ea_list) + 4 * sizeof(eattr));,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_alloca_in_loop,AI-Triage-v8:AI-TRIAGE:cpp_alloca_in_loop,proto/ospf/rt.c,2073,MEDIUM,,
Overly complex boolean condition: if ((local_role != BGP_ROLE_UNDEFINED) &&,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_complex_condition,AI-Triage-v8:AI-TRIAGE:cpp_complex_condition,proto/bgp/packets.c,977,MEDIUM,,
Identical code in different branches: case NET_IP6_SADR:,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1871,AI-Triage-v8:AI-TRIAGE:c_S1871,lib/net.c,339,MEDIUM,,
Redundant parentheses: if ((p->timer->expires > (current_time() + 100 MS))),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1110,AI-Triage-v8:AI-TRIAGE:c_S1110,proto/rip/rip.c,1000,MEDIUM,,
Function has too many parameters: void,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S107,AI-Triage-v8:AI-TRIAGE:c_S107,proto/ospf/topology.c,1195,MEDIUM,,
Function has too many lines: if (cc2 && (tab = (type == NET_IP4) ? cc2->igp_table_ip4 : cc2->igp_table_ip6)),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S912,AI-Triage-v8:AI-TRIAGE:c_S912,proto/bgp/bgp.c,2443,MEDIUM,,
switch case falls through without comment: match:,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1219,AI-Triage-v8:AI-TRIAGE:c_S1219,nest/a-path.c,937,MEDIUM,,
Missing header guard [REVIEW] [HALLU?]: File nest/cmds.h contains no #ifndef/#define/#endif header guard (lines 1–21 show only comments and declarations).,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_missing_header_guard,AI-Triage-v8:AI-TRIAGE:cpp_missing_header_guard,nest/cmds.h,1,MEDIUM,,
"Null pointer dereference in function call: static inline int net_equal_ip6_sadr(const net_addr_ip6_sadr *a, const net_addr_ip6_sadr *b)",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S5000,AI-Triage-v8:AI-TRIAGE:c_S5000,lib/net.h,372,MEDIUM,,
alloca() with network-controlled size — stack DoS: byte *auth_data = alloca(auth_len);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,proto/rip/packets.c,400,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: Ensure persistence */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/ospf/packet.c,148,MEDIUM,,
Function has too many lines: if ((n->state == NEIGHBOR_FULL) &&,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S912,AI-Triage-v8:AI-TRIAGE:c_S912,proto/ospf/topology.c,1745,MEDIUM,,
alloca() inside loop — unbounded stack growth: net_addr *n = alloca(sizeof(struct net_addr_flow6) + flen);,VULNERABILITY,BLOCKER,,,external_AI-Triage-v8:AI-TRIAGE:cpp_alloca_in_loop,AI-Triage-v8:AI-TRIAGE:cpp_alloca_in_loop,proto/bgp/packets.c,2209,MEDIUM,,
Dead store — value assigned but never used: lo0++;,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1854,AI-Triage-v8:AI-TRIAGE:c_S1854,lib/bitmap.c,373,MEDIUM,,
Stack address escapes function scope [REVIEW]: s->bws = &bws;,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_stack_address_escape,AI-Triage-v8:AI-TRIAGE:cpp_stack_address_escape,proto/mrt/mrt.c,603,MEDIUM,,
Pointer arithmetic on non-array pointer: #include CONFIG_INCLUDE_NLSYS_H,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S956,AI-Triage-v8:AI-TRIAGE:c_S956,sysdep/linux/netlink.c,30,MEDIUM,,
Ambiguously signed bit-field: int readonly:1;			/* Don't allow writing */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_ambiguously_signed_bit_field,AI-Triage-v8:AI-TRIAGE:cpp_ambiguously_signed_bit_field,filter/data.h,132,MEDIUM,,
Function declared implicitly: for(;;),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S924,AI-Triage-v8:AI-TRIAGE:c_S924,nest/locks.c,168,MEDIUM,,
Function declared implicitly: while (end >= pkt_start + BGP_HEADER_LENGTH),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S924,AI-Triage-v8:AI-TRIAGE:c_S924,proto/bgp/packets.c,3530,MEDIUM,,
Function missing documentation: static uint,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_poorly_documented_function,AI-Triage-v8:AI-TRIAGE:cpp_poorly_documented_function,lib/sha256.c,113,MEDIUM,,
Null pointer dereference after failed allocation: new = malloc(size);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:nullPointerOutOfMemory,AI-Triage-v8:AI-TRIAGE:nullPointerOutOfMemory,client/commands.c,72,MEDIUM,,
Function has too many lines: if (size >= 0 && (remains -= size) < 0),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S912,AI-Triage-v8:AI-TRIAGE:c_S912,lib/printf.c,45,MEDIUM,,
alloca() with network-controlled size — stack DoS: a0.eattrs = alloca(sizeof(ea_list) + 4 * sizeof(eattr));,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,proto/ospf/rt.c,2073,MEDIUM,,
alloca() with network-controlled size — stack DoS: net_addr *n0 = alloca(n->length);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,nest/rt-fib.c,386,MEDIUM,,
alloca() usage — potential stack overflow: net_addr *n = alloca(sizeof(struct net_addr_flow4) + flen);,VULNERABILITY,BLOCKER,,,external_AI-Triage-v8:AI-TRIAGE:allocaCalled,AI-Triage-v8:AI-TRIAGE:allocaCalled,proto/bgp/packets.c,2114,MEDIUM,,
Local variable shadows outer variable: uint len = get_value_length(pos);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1117,AI-Triage-v8:AI-TRIAGE:c_S1117,lib/flowspec.c,536,MEDIUM,,
Too many return statements: pw = getpwnam(s);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1912,AI-Triage-v8:AI-TRIAGE:c_S1912,sysdep/unix/main.c,902,MEDIUM,,
alloca() with network-controlled size — stack DoS: data = alloca(2*len);,VULNERABILITY,BLOCKER,,,external_AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,proto/bgp/attrs.c,460,MEDIUM,,
assert() used in production code: int readonly:1;			/* Don't allow writing */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S2216,AI-Triage-v8:AI-TRIAGE:c_S2216,filter/data.h,132,MEDIUM,,
Local variable shadows outer variable: static void,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1117,AI-Triage-v8:AI-TRIAGE:c_S1117,lib/lists_test.c,74,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: handle it better in rfree() */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,sysdep/unix/io.c,1328,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: This should not happen */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/rip/packets.c,266,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME - check for MinLSArrival ? */,VULNERABILITY,BLOCKER,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/ospf/lsupd.c,682,MEDIUM,,
alloca() usage — potential stack overflow: struct f_path_mask *mask = alloca(sizeof(struct f_path_mask) + AS_PATH_LENGTH * sizeof(struct f_path_mask_item));,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:allocaCalled,AI-Triage-v8:AI-TRIAGE:allocaCalled,nest/a-path_test.c,35,MEDIUM,,
Function declared implicitly: for (e=n->routes; e; e=e->next),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S924,AI-Triage-v8:AI-TRIAGE:c_S924,nest/rt-table.c,2204,MEDIUM,,
Function declared implicitly: while (n),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S924,AI-Triage-v8:AI-TRIAGE:c_S924,filter/trie.c,632,MEDIUM,,
switch case falls through without comment: case PDC_CMD_DISABLE:,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1219,AI-Triage-v8:AI-TRIAGE:c_S1219,proto/bgp/bgp.c,2175,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: On physical PtP links we may skip next-hop altogether */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/ospf/rt.c,1799,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: skip IPv6 next hops for IPv4 routes during MRT dump */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/bgp/attrs.c,491,MEDIUM,,
"Function missing documentation: rpki_reconfigure_cache(struct rpki_proto *p UNUSED, struct rpki_cache *cache, struct rpki_config *new, struct rpki_config *old)",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_poorly_documented_function,AI-Triage-v8:AI-TRIAGE:cpp_poorly_documented_function,proto/rpki/rpki.c,691,MEDIUM,,
Null pointer dereference: { return ((*data & 0xf0) == 0xf0) ? get_u16(data) & 0x0fff : *data; },VULNERABILITY,BLOCKER,,,external_AI-Triage-v8:AI-TRIAGE:c_S2259,AI-Triage-v8:AI-TRIAGE:c_S2259,lib/flowspec.h,63,MEDIUM,,
Function missing documentation: static void,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_poorly_documented_function,AI-Triage-v8:AI-TRIAGE:cpp_poorly_documented_function,sysdep/linux/netlink.c,1546,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /*,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,nest/rt-show.c,167,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: convert this call to some protocol hook */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,nest/proto.c,1737,MEDIUM,,
Division by zero: uint avg = (sum * 1000) / (f.hash_size - hist[0]);,VULNERABILITY,BLOCKER,,,external_AI-Triage-v8:AI-TRIAGE:c_S3518,AI-Triage-v8:AI-TRIAGE:c_S3518,nest/rt-fib_test.c,183,MEDIUM,,
alloca() with network-controlled size — stack DoS: a = alloca(rta_size(new->attrs));,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,proto/pipe/pipe.c,70,MEDIUM,,
Function declared implicitly: for (uint m=0; m < mask->len; m++),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S924,AI-Triage-v8:AI-TRIAGE:c_S924,nest/a-path.c,900,MEDIUM,,
Null pointer dereference after failed allocation: new = malloc(size);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:nullPointerOutOfMemory,AI-Triage-v8:AI-TRIAGE:nullPointerOutOfMemory,client/commands.c,79,MEDIUM,,
Null pointer dereference: struct channel *dst = NULL;,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S2259,AI-Triage-v8:AI-TRIAGE:c_S2259,proto/l3vpn/l3vpn.c,204,MEDIUM,,
alloca() usage — potential stack overflow: net_addr *n = alloca(sizeof(net_addr_vpn6));,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:allocaCalled,AI-Triage-v8:AI-TRIAGE:allocaCalled,proto/l3vpn/l3vpn.c,160,MEDIUM,,
Missing header guard [REVIEW] [HALLU?]: File client/client.h: no header guard present (no #ifndef/#define/#endif block found in lines 1–7 of snippet),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_missing_header_guard,AI-Triage-v8:AI-TRIAGE:cpp_missing_header_guard,client/client.h,1,MEDIUM,,
Null pointer dereference: node *z = n->prev;,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S2259,AI-Triage-v8:AI-TRIAGE:c_S2259,lib/lists.c,149,MEDIUM,,
"Ignored return value of security-relevant function: log(L_INFO ""Shutting down"");",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:ignoredReturnValue,AI-Triage-v8:AI-TRIAGE:ignoredReturnValue,conf/conf.c,253,MEDIUM,,
"Function has too many parameters: prepare_ext3_lsa_body(struct ospf_proto *p, ort *nf,",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S107,AI-Triage-v8:AI-TRIAGE:c_S107,proto/ospf/topology.c,1144,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME eliminate items with LA bit set? see 4.4.3.9 */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/ospf/topology.c,1676,MEDIUM,,
Redundant parentheses [REVIEW]: return (n1);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1110,AI-Triage-v8:AI-TRIAGE:c_S1110,proto/ospf/neighbor.c,602,MEDIUM,,
Function has too many lines: if (!net->routes &&,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S912,AI-Triage-v8:AI-TRIAGE:c_S912,nest/rt-table.c,1415,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: allow for undefined copy_config */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,nest/proto.c,1216,MEDIUM,,
"Function has too many parameters: bfd_request_session(pool *p, ip_addr addr, ip_addr local,",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S107,AI-Triage-v8:AI-TRIAGE:c_S107,proto/bfd/bfd.c,775,MEDIUM,,
"Pointer compared to integer literal: rv = read(fd, buf, 64);",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S5314,AI-Triage-v8:AI-TRIAGE:c_S5314,proto/bfd/io.c,103,MEDIUM,,
Function has too many lines: static inline void rta_free(rta *r) { if (r && !--r->uc) rta__free(r); },CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S912,AI-Triage-v8:AI-TRIAGE:c_S912,nest/route.h,718,MEDIUM,,
